City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Saskylakh,RU,71.9167,114.0833,3.79,83,100,12.64,overcast clouds
189,Lompoc,US,34.6391,-120.4579,53.6,76,100,12.66,overcast clouds
190,Huanuco,PE,-9.9329,-76.2415,63.63,92,100,1.92,overcast clouds
191,Lagoa,PT,39.05,-27.9833,59.47,80,92,15.68,overcast clouds
192,Tiksi,RU,71.6872,128.8694,-4.18,90,36,5.26,scattered clouds
193,Usinsk,RU,65.9939,57.5281,21.31,92,50,7.94,scattered clouds
194,Pitimbu,BR,-7.4706,-34.8086,75.2,100,20,3.44,few clouds
195,Vila Velha,BR,-20.3297,-40.2925,75.99,94,20,3.44,few clouds
196,Takoradi,GH,4.8845,-1.7554,78.78,89,9,5.91,clear sky
197,La Ronge,CA,55.1001,-105.2842,37.4,44,100,1.14,overcast clouds
198,Arrifes,PT,37.7667,-25.7,57.2,94,40,12.66,scattered clouds
199,Bayir,TR,37.2687,28.2167,64.4,48,75,11.5,broken clouds
200,Kandiari,PK,26.9156,68.5216,84.51,23,33,0.45,scattered clouds
201,Kaeo,NZ,-35.1,173.7833,77.0,63,25,7.0,scattered clouds
202,Avdon,RU,54.6667,55.7167,28.4,86,0,4.47,clear sky
203,Ahuimanu,US,21.4447,-157.8378,78.8,64,75,17.27,broken clouds
204,Kavaratti,IN,10.5669,72.642,84.0,66,100,10.16,overcast clouds
205,Nouadhibou,MR,20.931,-17.0347,64.72,79,7,20.2,clear sky
206,Pevek,RU,69.7008,170.3133,-7.4,91,97,4.45,overcast clouds
207,Richards Bay,ZA,-28.783,32.0377,65.75,91,8,3.6,clear sky
208,Pangnirtung,CA,66.1451,-65.7125,7.47,98,100,2.39,light snow
209,Manhattan,US,40.7834,-73.9662,60.8,17,1,12.82,clear sky
210,Provideniya,RU,64.3833,-173.3,6.8,72,75,15.66,snow
211,Balud,PH,10.1476,123.6953,86.0,66,20,8.05,few clouds
212,Baruun-Urt,MN,46.6806,113.2792,41.09,34,71,5.68,broken clouds
213,Bilibino,RU,68.0546,166.4372,4.21,80,8,2.28,clear sky
214,Byron Bay,AU,-28.65,153.6167,75.2,73,90,13.8,overcast clouds
215,Saint-Denis,FR,48.9167,2.3333,33.01,80,0,5.19,clear sky
216,Portland,US,45.5234,-122.6762,60.8,36,1,5.75,clear sky
217,Sabha,LY,27.0377,14.4283,68.38,36,100,17.65,overcast clouds
218,North Bend,US,43.4065,-124.2243,48.2,76,1,24.16,clear sky
219,Klaksvik,FO,62.2266,-6.589,26.6,59,20,34.52,light snow
220,Kahului,US,20.8947,-156.47,73.4,83,40,20.71,scattered clouds
221,Suntar,RU,62.1444,117.6319,12.94,71,64,3.89,broken clouds
222,Liberal,US,37.0431,-100.921,71.6,49,1,26.46,clear sky
223,Sikasso,ML,10.9167,-7.0,82.31,41,14,5.21,few clouds
224,Tambovka,RU,50.0969,128.0489,33.8,34,40,15.66,scattered clouds
225,Vilhena,BR,-12.7406,-60.1458,69.57,96,100,1.23,moderate rain
226,Nikolskoye,RU,59.7035,30.7861,32.0,93,90,4.47,snow
227,Lysychovo,UA,48.4968,23.2899,36.21,82,99,3.42,light rain
228,San Cristobal,VE,7.7669,-72.225,78.8,78,75,4.61,broken clouds
229,Beringovskiy,RU,63.05,179.3167,6.96,83,100,16.13,overcast clouds
230,Egvekinot,RU,66.3167,-179.1667,4.06,76,0,6.85,clear sky
231,Balikpapan,ID,-1.2675,116.8289,86.07,61,76,2.84,broken clouds
232,Tura,IN,25.5198,90.2201,85.98,12,0,4.21,clear sky
233,Bella Vista,US,36.4295,-94.2316,66.2,63,1,5.75,clear sky
234,Taoudenni,ML,22.6783,-3.9836,76.01,10,0,9.44,clear sky
235,Bathsheba,BB,13.2167,-59.5167,78.8,69,75,13.8,broken clouds
236,Konstantinovka,RU,49.6167,127.9833,33.28,34,93,16.42,overcast clouds
237,Aasiaat,GL,68.7098,-52.8699,15.57,90,100,7.25,overcast clouds
238,Saint-Georges,GD,12.0564,-61.7485,78.8,89,20,11.5,few clouds
239,Yenagoa,NG,4.9247,6.2642,77.38,94,85,3.71,overcast clouds
240,Ushibuka,JP,32.1906,130.0228,58.96,53,3,9.53,clear sky
241,East London,ZA,-33.0153,27.9116,63.97,87,100,6.08,light rain
242,Lago Da Pedra,BR,-4.3333,-45.1667,72.64,95,82,1.88,broken clouds
243,Dingle,PH,10.9995,122.6711,86.97,59,100,13.2,overcast clouds
244,Bull Savanna,JM,17.8868,-77.5902,72.82,81,33,9.22,scattered clouds
245,Namatanai,PG,-3.6667,152.4333,84.51,72,65,2.15,light rain
246,Qaanaaq,GL,77.484,-69.3632,-1.75,62,100,1.88,overcast clouds
247,Sur,OM,22.5667,59.5289,82.2,47,0,1.48,clear sky
248,Vestmannaeyjar,IS,63.4427,-20.2734,29.91,75,78,11.81,broken clouds
249,Atbasar,KZ,51.8,68.3333,27.21,93,100,9.24,overcast clouds
250,Meulaboh,ID,4.1363,96.1285,81.88,79,97,4.12,overcast clouds
251,Prestea,GH,5.4327,-2.1428,75.06,96,12,2.71,few clouds
252,Narsaq,GL,60.9167,-46.05,37.4,81,75,1.14,broken clouds
253,Tulun,RU,54.5611,100.5792,36.36,93,94,5.59,overcast clouds
254,Balingasay,PH,16.3573,119.8564,83.39,65,7,2.89,clear sky
255,Oranjemund,NA,-28.55,16.4333,60.42,87,100,13.35,overcast clouds
256,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,10.11,light rain
257,Griffith,US,41.5284,-87.4237,68.0,45,1,6.91,clear sky
258,Kuroiso,JP,36.9667,140.05,46.4,57,75,4.61,broken clouds
259,Tahta,EG,26.7693,31.5021,60.8,25,0,6.91,clear sky
260,Bridlington,GB,54.0831,-0.1919,30.99,75,86,1.01,light snow
261,Campamento,HN,14.55,-86.65,68.13,91,99,1.3,overcast clouds
262,Puerto Colombia,CO,10.9878,-74.9547,78.8,83,40,11.5,fog
263,Hambantota,LK,6.1241,81.1185,80.6,100,74,3.44,broken clouds
264,Biloela,AU,-24.4167,150.5,84.49,56,60,6.76,broken clouds
265,Rajanpur,PK,29.1035,70.325,82.9,26,65,13.98,broken clouds
266,Springfield,US,37.2153,-93.2982,64.4,63,1,8.05,clear sky
267,Locri,IT,38.2414,16.2623,55.99,76,4,10.36,clear sky
268,Ancud,CL,-41.8697,-73.8203,55.99,100,90,11.5,light rain
269,Geraldton,AU,-28.7667,114.6,77.0,57,75,9.22,broken clouds
270,Itaituba,BR,-4.2761,-55.9836,73.72,98,100,0.25,overcast clouds
271,Esperance,AU,-33.8667,121.9,86.0,32,11,9.22,few clouds
272,Bonaventure,CA,48.0457,-65.4926,39.2,87,100,1.14,overcast clouds
273,Iqaluit,CA,63.7506,-68.5145,19.4,86,75,11.5,light snow
274,Airai,TL,-8.9266,125.4092,73.56,55,33,1.99,scattered clouds
275,Korla,CN,41.7597,86.1469,57.07,18,74,12.95,broken clouds
276,Longyearbyen,SJ,78.2186,15.6401,12.2,67,40,23.02,scattered clouds
277,Sioux Lookout,CA,50.1001,-91.917,51.8,46,90,3.44,overcast clouds
278,Plettenberg Bay,ZA,-34.0527,23.3716,60.55,86,99,10.67,overcast clouds
279,Newport,GB,51.5877,-2.9984,33.01,72,2,9.64,clear sky
280,Hofn,IS,64.2539,-15.2082,20.16,61,3,16.06,clear sky
281,Hovd,MN,48.0056,91.6419,44.65,23,24,1.3,few clouds
282,Sirnak,TR,37.5228,42.4594,43.81,68,6,4.27,clear sky
283,Leningradskiy,RU,69.3833,178.4167,1.27,90,100,5.19,overcast clouds
284,Atar,MR,20.5169,-13.0499,76.57,16,1,9.42,clear sky
285,Coquimbo,CL,-29.9533,-71.3436,60.8,82,0,2.3,clear sky
286,Kloulklubed,PW,7.0419,134.2556,87.8,70,75,8.05,broken clouds
287,Touros,BR,-5.1989,-35.4608,75.2,94,0,4.61,clear sky
288,Verkhnyaya Inta,RU,65.9811,60.3094,21.9,88,30,3.4,scattered clouds
289,Camacha,PT,33.0833,-16.3333,60.8,72,20,3.44,few clouds
290,Santa Ines,BR,-3.6667,-45.38,73.4,96,83,2.62,broken clouds
291,Champerico,GT,14.3,-91.9167,71.01,90,88,3.56,overcast clouds
292,Lakatoro,VU,-16.0999,167.4164,83.03,69,42,13.44,scattered clouds
293,Tyazhinskiy,RU,56.116,88.524,45.45,76,0,13.09,clear sky
294,Tabou,CI,4.423,-7.3528,79.14,89,84,3.6,broken clouds
295,Nan,TH,18.8333,100.6667,69.8,100,75,5.75,light rain
296,Moron,AR,-34.6534,-58.6198,75.0,82,28,1.99,scattered clouds
297,Rudnya,RU,54.947,31.0934,35.49,96,100,15.75,light rain
298,Mizdah,LY,31.4451,12.9801,53.31,76,0,4.52,clear sky
299,Birjand,IR,32.8663,59.2211,35.6,25,0,4.61,clear sky
300,Beyneu,KZ,45.3167,55.2,55.67,39,59,21.32,broken clouds
301,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.07,77,9,7.05,clear sky
302,Altus,US,34.6381,-99.334,69.8,56,1,16.11,clear sky
303,Faanui,PF,-16.4833,-151.75,81.54,70,95,16.58,overcast clouds
304,Xining,CN,36.6167,101.7667,42.53,58,58,6.51,broken clouds
305,Porbandar,IN,21.6422,69.6093,77.0,94,40,7.78,mist
306,Kenora,CA,49.8167,-94.4337,50.0,53,75,13.8,broken clouds
307,Shatrovo,RU,56.5167,64.6333,32.94,84,24,13.38,few clouds
308,Sisimiut,GL,66.9395,-53.6735,19.2,89,100,5.66,overcast clouds
309,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.94,92,36,1.34,scattered clouds
310,Khetri,IN,27.9833,75.8,85.32,15,44,13.4,scattered clouds
311,Skrunda,LV,56.6833,22.0167,35.6,75,90,16.11,overcast clouds
312,Mar Del Plata,AR,-38.0023,-57.5575,70.0,94,69,4.61,broken clouds
313,Mednogorsk,RU,51.4128,57.595,31.66,97,100,13.91,snow
314,Preston,GB,53.7667,-2.7167,34.0,76,37,1.01,scattered clouds
315,Carauari,BR,-4.8828,-66.8958,73.47,98,100,1.34,overcast clouds
316,Obo,CF,5.3998,26.4869,72.37,73,100,2.08,overcast clouds
317,Nakusp,CA,50.2499,-117.8023,46.4,49,38,1.14,scattered clouds
318,Solnechnyy,RU,50.7214,136.6319,35.69,74,100,5.28,overcast clouds
319,Sarkand,KZ,45.41,79.9186,45.88,67,71,4.21,broken clouds
320,Udachnyy,RU,66.4167,112.4,6.85,86,100,10.94,overcast clouds
321,The Valley,AI,18.217,-63.0578,78.01,83,20,6.91,few clouds
322,Tecpan,GT,14.7623,-90.9947,64.99,82,20,13.8,few clouds
323,Bonavista,CA,48.6499,-53.1147,37.0,100,100,2.3,overcast clouds
324,Zhigansk,RU,66.7697,123.3711,-2.81,88,62,5.03,broken clouds
325,Quelimane,MZ,-17.8786,36.8883,71.35,80,3,4.27,clear sky
