City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Port-Gentil,GA,81.86,overcast clouds,-0.7193,8.7815,Fengshui Residence
526,Guasdualito,VE,77.0,light rain,7.2424,-70.7324,Hotel Cuibas
529,Gawler,AU,82.0,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
532,Axim,GH,79.07,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
534,Matara,LK,80.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
538,Gizo,SB,84.56,light rain,-8.103,156.8419,Imagination Island
539,Conde,BR,75.2,few clouds,-7.2597,-34.9075,Pousada Beija Flor
548,Honiara,SB,84.29,overcast clouds,-9.4333,159.95,Heritage Park Hotel
549,Pozo Colorado,PY,79.02,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
551,Pho Chai,TH,88.0,clear sky,16.3283,103.7703,ก๊อฟคุงยางมือสอง
552,Wewak,PG,80.56,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
553,Pochutla,MX,80.01,clear sky,15.7432,-96.4661,Hotel Posada San Jose
557,Gossaigaon,IN,88.25,clear sky,26.4481,89.98899999999999,Daory Dhaba
560,Calabozo,VE,81.14,overcast clouds,8.9242,-67.4293,Hotel Giardini
563,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
564,Jardim,BR,79.03,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
572,Sarankhola,BD,88.86,clear sky,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
576,Humaita,BR,76.93,heavy intensity rain,-7.5061,-63.0208,Corrêa Hotel
579,Noumea,NC,87.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
582,Poum,NC,80.11,overcast clouds,-20.2333,164.0167,Gîte kajeon
583,Dakor,IN,82.4,haze,22.75,73.15,Hotel Raj Palace
588,Mogadishu,SO,80.96,few clouds,2.0371,45.3438,Olympic Hotel
596,Flinders,AU,77.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
600,Fountain Hills,US,89.6,clear sky,33.6117,-111.7174,Lakeshore Hotel & Suites
611,Biak,ID,86.29,scattered clouds,-0.9131,122.8766,Penginapan Kim
613,Wajir,KE,78.08,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
624,Aloleng,PH,84.29,clear sky,16.1307,119.7824,Agno Umbrella Rocks
638,Vila Do Maio,CV,77.0,clear sky,15.1333,-23.2167,Residence 'I Delfini'
641,Dwarka,IN,81.64,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
642,Itarema,BR,76.78,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
645,Takaungu,KE,78.98,light rain,-3.6837,39.8566,Takaungu House
646,Praia,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
648,Camapua,BR,79.48,overcast clouds,-19.5314,-54.0439,Comercial Estrela
651,Broken Hill,AU,78.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
654,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
656,Berasia,IN,75.2,haze,23.6333,77.4333,golu narwaria
661,Lazaro Cardenas,MX,76.66,clear sky,17.9583,-102.2,Hotel Quinta Antigua
670,Biltine,TD,78.42,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
674,Pathein,MM,80.46,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
676,Kulhudhuffushi,MV,83.34,overcast clouds,6.6221,73.07,Haajy Guest House 1
690,Majene,ID,88.23,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
