City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Figeac,FR,2021-03-31 21:56:06,44.75,1.9167,51.01,50,0,6.91
140,Clyde River,CA,2021-03-31 21:56:06,70.4692,-68.5914,-7.6,59,75,4.99
141,Olutanga,PH,2021-03-31 21:56:06,7.3106,122.8464,81.68,79,99,9.93
142,Minanga,PH,2021-03-31 21:56:07,17.7626,121.7277,72.01,82,99,2.17
143,Chokurdakh,RU,2021-03-31 21:56:07,70.6333,147.9167,-10.28,100,99,4.34
144,Tuktoyaktuk,CA,2021-03-31 21:56:07,69.4541,-133.0374,-11.2,70,40,21.85
145,Harer,ET,2021-03-31 21:56:08,9.3094,42.1258,61.97,32,100,0.47
146,Ahipara,NZ,2021-03-31 21:56:08,-35.1667,173.1667,65.84,82,58,10.92
147,Vestmannaeyjar,IS,2021-03-31 21:56:08,63.4427,-20.2734,42.28,77,90,16.17
148,Kamaishi,JP,2021-03-31 21:56:08,39.2667,141.8833,45.81,73,3,4.61
149,Barrow,US,2021-03-31 21:56:09,71.2906,-156.7887,-7.6,64,1,21.85
150,Gillette,US,2021-03-31 21:56:09,44.2911,-105.5022,44.6,24,1,9.22
151,Norman Wells,CA,2021-03-31 21:56:10,65.282,-126.8329,10.4,67,75,3.44
152,Olympia,US,2021-03-31 21:51:12,47.0379,-122.9007,62.01,41,1,9.22
153,Thompson,CA,2021-03-31 21:56:10,55.7435,-97.8558,24.8,50,40,14.97
154,Lompoc,US,2021-03-31 21:56:10,34.6391,-120.4579,80.6,19,0,12.66
155,Talnakh,RU,2021-03-31 21:56:11,69.4865,88.3972,-24.11,83,4,5.3
156,Hambantota,LK,2021-03-31 21:56:11,6.1241,81.1185,78.8,100,1,5.75
157,Mabaruma,GY,2021-03-31 21:56:11,8.2,-59.7833,76.05,77,51,4.68
158,Souillac,MU,2021-03-31 21:56:11,-20.5167,57.5167,75.2,94,40,6.11
159,Longyearbyen,SJ,2021-03-31 21:56:12,78.2186,15.6401,28.4,74,75,3.44
160,Tomatlan,MX,2021-03-31 21:56:12,19.9333,-105.25,87.55,29,51,9.19
161,Robstown,US,2021-03-31 21:56:12,27.7903,-97.6689,75.2,53,90,24.16
162,Geraldton,AU,2021-03-31 21:56:12,-28.7667,114.6,64.4,82,5,4.61
163,Coquimbo,CL,2021-03-31 21:56:13,-29.9533,-71.3436,62.6,72,0,11.5
164,Plettenberg Bay,ZA,2021-03-31 21:56:13,-34.0527,23.3716,63.03,90,97,4.9
165,Praia,CV,2021-03-31 21:56:13,14.9215,-23.5087,69.8,78,75,20.71
166,Olecko,PL,2021-03-31 21:56:14,54.0337,22.507,44.94,68,38,5.53
167,Gomel,BY,2021-03-31 21:56:14,52.4345,30.9754,48.2,93,13,8.95
168,Port Alfred,ZA,2021-03-31 21:56:14,-33.5906,26.891,68.09,79,100,10.16
169,Tiksi,RU,2021-03-31 21:56:14,71.6872,128.8694,-4.18,99,100,10.78
170,Lata,PT,2021-03-31 21:56:15,40.1629,-8.3327,64.4,52,0,3.44
171,Khatanga,RU,2021-03-31 21:56:15,71.9667,102.5,-43.67,100,56,1.63
172,Havre-Saint-Pierre,CA,2021-03-31 21:56:15,50.2334,-63.5986,33.8,86,40,16.11
173,Akranes,IS,2021-03-31 21:56:16,64.3218,-22.0749,39.99,81,90,11.5
174,Irati,BR,2021-03-31 21:56:16,-25.4672,-50.6511,58.41,66,0,2.71
175,Bergen,NO,2021-03-31 21:56:16,60.392,5.328,37.4,87,0,3.44
176,Port Macquarie,AU,2021-03-31 21:53:28,-31.4333,152.9167,69.01,97,51,1.01
177,Husavik,IS,2021-03-31 21:56:16,66.0449,-17.3389,42.8,49,40,17.27
178,Elbistan,TR,2021-03-31 21:56:17,38.2059,37.1983,45.18,67,77,2.51
179,Pauini,BR,2021-03-31 21:56:17,-7.7136,-66.9764,77.74,88,75,3.53
180,Chuy,UY,2021-03-31 21:56:17,-33.6971,-53.4616,64.72,79,54,7.05
181,Waingapu,ID,2021-03-31 21:56:18,-9.6567,120.2641,76.68,86,93,4.23
182,Rawa Mazowiecka,PL,2021-03-31 21:56:18,51.7644,20.2549,55.99,81,96,1.14
183,Greensburg,US,2021-03-31 21:56:18,40.3015,-79.5389,48.99,100,90,6.91
184,High Prairie,CA,2021-03-31 21:56:18,55.4334,-116.4858,44.6,42,100,13.8
185,High Level,CA,2021-03-31 21:56:19,58.5169,-117.136,41.0,52,75,6.91
186,Whitehorse,CA,2021-03-31 21:51:43,60.7161,-135.0538,37.0,64,75,18.41
